time,Mech_dissip_avg,Mech_dissip_core,Mod_Gruntfest_avg,Mod_Gruntfest_core,elastic_strain_z,max_returnmap_iter,mean_stress,mises_stress,plastic_strain_z,temperature_avg,temperature_core,total_strain_z
0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.003,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.007,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.015,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.031,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.063,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.127,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.255,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.511,0,0,0,0,-5.343497821277e-05,0,-15549108.524596,13352674.427288,0,293.15,293.15,-5.343497821277e-05
1.023,0,0,0,0,-5.343497821277e-05,0,-15549108.524596,13352674.427288,0,293.15,293.15,-5.343497821277e-05
2.047,0,0,0,0,-0.00021407080889945,0,-16598595.956286,10204212.150127,0,293.15,293.15,-0.00021407080889945
4.095,0,0,0,0,-0.00042829205790324,0,-17998174.777413,6005475.6642548,0,293.15,293.15,-0.00042829205790324
8.191,0,0,0,0,-0.00085687219859017,0,-20798231.696625,2394695.0931542,0,293.15,293.15,-0.00085687219859017
13.191,0,0,0,0,-0.0013802903379985,0,-24217896.873651,12653690.625975,0,293.15,293.15,-0.0013802903379985
18.191,0,0,0,0,-0.0019039825873356,0,-27639352.902677,22918058.712961,0,293.15,293.15,-0.0019039825873356
23.191,0,0,0,0,-0.0024279492338501,0,-31062601.659915,33187804.984637,0,293.15,293.15,-0.0024279492338501
28.191,0,0,0,0,-0.0029521905652426,0,-34487645.02487,43462935.080066,0,293.15,293.15,-0.0029521905652426
33.191,0,0,0,0,-0.0034767068696138,0,-37914484.878418,53743454.647329,0,293.15,293.15000000001,-0.0034767068696138
38.191,0,0,0,0,-0.0040014984357277,0,-41343123.111639,64029369.341952,0,293.15,293.15,-0.0040014984357277
43.191,0,0,0,0,-0.0045265655524885,0,-44773561.607252,74320684.830991,0,293.15,293.15,-0.0045265655524885
48.191,0,0,0,0,-0.0050519085094659,0,-48205802.259718,84617406.787545,0,293.15,293.15,-0.0050519085094659
53.191,0,0,0,0,-0.0055775275966334,0,-51639846.961977,94919540.896567,0,293.15,293.15,-0.0055775275966334
58.191,0,0,0,0,-0.0061034231044219,0,-55075697.613074,105227092.84902,0,293.15,293.15,-0.0061034231044219
63.191,0,0,0,0,-0.0066295953237209,0,-58513356.111925,115540068.34782,0,293.15,293.15,-0.0066295953237209
68.191,0,0,0,0,-0.0071560445458796,0,-61952824.363575,125858473.10193,0,293.15,293.15,-0.0071560445458796
73.191,0,0,0,0,-0.007682771062707,0,-65394104.273333,136182312.83192,0,293.15,293.15,-0.007682771062707
78.191,0.011481166526388,0.011481166411719,0.0050427757857798,0.0050427756992601,-0.0082097750021736,1,-68837196.677272,146511590.04601,-1.6430023953732e-10,293.15000082612,293.15000211563,-0.0082097751664738
83.191,116.09876114109,116.10711618103,51.004514710134,51.004487680833,-0.0087355047355982,1,-72271964.268809,156815892.82129,-1.5524143148876e-06,293.15835404822,293.17139447103,-0.0087370571499131
88.191,896.41508326056,896.90304585217,393.75297753063,393.74687166432,-0.0092518062795181,2,-75645134.355578,166935403.08229,-1.2811026703034e-05,293.21451311098,293.3152354303,-0.0092646173062211
93.191,2960.8061963296,2965.9412473992,1299.6543735168,1299.5045908082,-0.0097444918517075,2,-78864013.427045,176592040.29746,-4.796407735085e-05,293.36316802686,293.69614264632,-0.0097924559290583
98.191,6683.9023577649,6708.7156957496,2929.736958254,2928.3784793582,-0.010197048008241,2,-81820713.649608,185462140.96804,-0.00012352530431119,293.63153531144,294.38432889134,-0.010320573312552
103.191,11995.772340146,12070.256543653,5246.8106271016,5240.0725763965,-0.010595309987339,3,-84422691.91291,193268075.78212,-0.00025365976397051,294.01493929608,295.36857785308,-0.01084896975131
108.191,18388.470942142,18548.922206963,8021.6900553718,7999.6249719929,-0.010931069861841,3,-86616323.09287,199848969.44626,-0.00044657567863281,294.47697925841,296.55611588244,-0.011377645540474
113.191,25133.863687423,25404.593992384,10933.434100053,10880.005000733,-0.01120319680739,3,-88394219.137016,205182657.98784,-0.0007034041684666,294.96497611068,297.81167517195,-0.011906600975857
118.191,31556.126149163,31936.6281206,13690.282206268,13586.907449423,-0.011416414553981,3,-89787241.747984,209361726.77614,-0.0010194218001192,295.42971063295,299.00817904419,-0.0124358363541
123.191,37203.303649128,37669.993323222,16102.120946533,15933.015841926,-0.011578942720684,3,-90849092.43713,212547280.56417,-0.0013864092520562,295.83811204747,300.05983618014,-0.01296535197274
128.191,41877.836176465,42395.831841149,18089.98046095,17846.00555213,-0.011700208198777,3,-91641360.227073,214924086.48656,-0.0017949399313211,296.17569090527,300.92885788404,-0.013495148130098
133.191,45577.131905681,46112.508458503,19657.711904739,19337.257336268,-0.01178924784601,3,-92223085.922422,216669266.84718,-0.0022359772790316,296.44227567244,301.6146411609,-0.014025225125041
138.191,48410.342723643,48937.322726131,20855.240933631,20462.805439785,-0.011853875158941,3,-92645317.700084,217935965.96357,-0.002701708097849,296.64590702196,302.13796991942,-0.01455558325679
143.191,50530.349864466,51033.150020257,21749.561170084,21293.426694403,-0.01190041469982,3,-92949376.033149,218848145.01762,-0.0031858081249435,296.79781898638,302.5279494279,-0.015086222824763
148.191,52091.599265865,52563.041275887,22407.229049137,21897.289012689,-0.011933764921196,3,-93167264.146956,219501813.47564,-0.0036833792073577,296.90932853756,302.8138935136,-0.015617144128554
153.191,53229.64652507,53668.622913098,22886.126496403,22332.323905482,-0.011957607044217,3,-93323032.684344,219969123.13251,-0.0041907404237012,296.99033582713,303.02141711383,-0.016148347467918
158.191,54054.536656651,54463.572151707,23232.977104812,22644.388424848,-0.011974650453673,3,-93434382.959214,220303177.84719,-0.0047051826892289,297.04884905582,303.17120686956,-0.016679833142901
163.191,54651.413951912,55034.806987278,23483.799789296,22868.218832527,-0.011986860541366,3,-93514155.532655,220542499.2597,-0.0052247409124694,297.09104122503,303.27917908513,-0.017211601453835
168.191,55084.134388102,55446.731353863,23665.542609095,23029.387499968,-0.011995648628536,3,-93571571.034772,220714749.25959,-0.0057480040729274,297.12152447099,303.35720184213,-0.017743652701463
170,55223.451605464,55579.232874369,23724.036979584,23081.191098821,-0.011998466671537,3,-93589982.249277,220769984.1662,-0.0059377519942687,297.13132769853,303.38230282611,-0.017936218665806

